File 			 Kernel 			 Threads 			 Time(s)
4K/Girl.jpg		7				8				2.2163
4K/Girl.jpg		7				16				2.2193
4K/Girl.jpg		9				1				15.2489
4K/Girl.jpg		9				2				7.7432
4K/Girl.jpg		9				4				4.1613
4K/Girl.jpg		9				8				3.6972
4K/Girl.jpg		9				16				3.6796
4K/Girl.jpg		11				1				22.4754
4K/Girl.jpg		11				2				11.5877
4K/Girl.jpg		11				4				6.0638
4K/Girl.jpg		11				8				5.4313
4K/Girl.jpg		11				16				5.3984
4K/Girl.jpg		13				1				30.9704
4K/Girl.jpg		13				2				16.2323
4K/Girl.jpg		13				4				8.2028
4K/Girl.jpg		13				8				7.4947
4K/Girl.jpg		13				16				7.5179
4K/Girl.jpg		15				1				41.2262
4K/Girl.jpg		15				2				21.2905
4K/Girl.jpg		15				4				11.1921
4K/Girl.jpg		15				8				9.9024
4K/Girl.jpg		15				16				9.8774
4K/GoT4K.jpg		3				1				2.1583
4K/GoT4K.jpg		3				2				1.1450
4K/GoT4K.jpg		3				4				0.6701
4K/GoT4K.jpg		3				8				0.6249
4K/GoT4K.jpg		3				16				0.6472
4K/GoT4K.jpg		5				1				4.8873
4K/GoT4K.jpg		5				2				2.5914
4K/GoT4K.jpg		5				4				1.6912
4K/GoT4K.jpg		5				8				1.2992
4K/GoT4K.jpg		5				16				1.3164
4K/GoT4K.jpg		7				1				8.9405
4K/GoT4K.jpg		7				2				4.6518
4K/GoT4K.jpg		7				4				2.4874
4K/GoT4K.jpg		7				8				2.3102
4K/GoT4K.jpg		7				16				2.3188
4K/GoT4K.jpg		9				1				15.8702
4K/GoT4K.jpg		9				2				7.8230
4K/GoT4K.jpg		9				4				4.3423
4K/GoT4K.jpg		9				8				3.8080
4K/GoT4K.jpg		9				16				3.8038
4K/GoT4K.jpg		11				1				22.5655
4K/GoT4K.jpg		11				2				11.5822
4K/GoT4K.jpg		11				4				6.1537
4K/GoT4K.jpg		11				8				5.5268
4K/GoT4K.jpg		11				16				5.5248
4K/GoT4K.jpg		13				1				31.2970
4K/GoT4K.jpg		13				2				16.3958
4K/GoT4K.jpg		13				4				8.5148
4K/GoT4K.jpg		13				8				7.5971
4K/GoT4K.jpg		13				16				7.5531
4K/GoT4K.jpg		15				1				41.3317
4K/GoT4K.jpg		15				2				21.1558
4K/GoT4K.jpg		15				4				11.0980
4K/GoT4K.jpg		15				8				10.0133
4K/GoT4K.jpg		15				16				9.9728
4K/linkinpark.jpg		3				1				1.9015
4K/linkinpark.jpg		3				2				0.9856
4K/linkinpark.jpg		3				4				0.5429
4K/linkinpark.jpg		3				8				0.4980
4K/linkinpark.jpg		3				16				0.5465
4K/linkinpark.jpg		5				1				4.5146
4K/linkinpark.jpg		5				2				2.2932
4K/linkinpark.jpg		5				4				1.2289
4K/linkinpark.jpg		5				8				1.1311
4K/linkinpark.jpg		5				16				1.1294
4K/linkinpark.jpg		7				1				8.3823
4K/linkinpark.jpg		7				2				4.4265
4K/linkinpark.jpg		7				4				2.2485
4K/linkinpark.jpg		7				8				2.0771
4K/linkinpark.jpg		7				16				2.0799
4K/linkinpark.jpg		9				1				14.2367
4K/linkinpark.jpg		9				2				7.1019
4K/linkinpark.jpg		9				4				6.5380
4K/linkinpark.jpg		9				8				3.4241
4K/linkinpark.jpg		9				16				3.4022
4K/linkinpark.jpg		11				1				20.9025
4K/linkinpark.jpg		11				2				10.6448
4K/linkinpark.jpg		11				4				5.6233
4K/linkinpark.jpg		11				8				5.0112
4K/linkinpark.jpg		11				16				5.0033
4K/linkinpark.jpg		13				1				28.5014
4K/linkinpark.jpg		13				2				14.9105
4K/linkinpark.jpg		13				4				7.5792
4K/linkinpark.jpg		13				8				6.9206
4K/linkinpark.jpg		13				16				6.9012
4K/linkinpark.jpg		15				1				37.5653
4K/linkinpark.jpg		15				2				18.8710
4K/linkinpark.jpg		15				4				10.0003
4K/linkinpark.jpg		15				8				9.1438
4K/linkinpark.jpg		15				16				9.1109
4K/Lucy4K.jpg		3				1				2.0727
4K/Lucy4K.jpg		3				2				1.0996
4K/Lucy4K.jpg		3				4				0.6067
4K/Lucy4K.jpg		3				8				0.5605
4K/Lucy4K.jpg		3				16				0.5785
4K/Lucy4K.jpg		5				1				4.7917
4K/Lucy4K.jpg		5				2				2.7367
4K/Lucy4K.jpg		5				4				1.3964
4K/Lucy4K.jpg		5				8				1.2363
4K/Lucy4K.jpg		5				16				1.2834
4K/Lucy4K.jpg		7				1				8.9360
4K/Lucy4K.jpg		7				2				4.6686
4K/Lucy4K.jpg		7				4				2.4043
4K/Lucy4K.jpg		7				8				2.2529
4K/Lucy4K.jpg		7				16				2.2619
4K/Lucy4K.jpg		9				1				15.7389
4K/Lucy4K.jpg		9				2				7.8637
4K/Lucy4K.jpg		9				4				7.1215
4K/Lucy4K.jpg		9				8				3.7375
4K/Lucy4K.jpg		9				16				3.7378
4K/Lucy4K.jpg		11				1				22.4932
4K/Lucy4K.jpg		11				2				11.3151
4K/Lucy4K.jpg		11				4				6.0782
4K/Lucy4K.jpg		11				8				5.4617
4K/Lucy4K.jpg		11				16				5.4995
4K/Lucy4K.jpg		13				1				40.2138
4K/Lucy4K.jpg		13				2				15.8610
4K/Lucy4K.jpg		13				4				8.3749
4K/Lucy4K.jpg		13				8				7.5563
4K/Lucy4K.jpg		13				16				7.5071
4K/Lucy4K.jpg		15				1				41.0428
4K/Lucy4K.jpg		15				2				20.7278
4K/Lucy4K.jpg		15				4				10.9435
4K/Lucy4K.jpg		15				8				9.9371
4K/Lucy4K.jpg		15				16				10.0179
4K/SW4K.jpg		3				1				2.0229
4K/SW4K.jpg		3				2				1.0496
4K/SW4K.jpg		3				4				0.5694
4K/SW4K.jpg		3				8				0.5247
4K/SW4K.jpg		3				16				0.5379
4K/SW4K.jpg		5				1				4.7973
4K/SW4K.jpg		5				2				2.4691
4K/SW4K.jpg		5				4				1.2873
4K/SW4K.jpg		5				8				1.2000
4K/SW4K.jpg		5				16				1.2339
4K/SW4K.jpg		7				1				8.8831
4K/SW4K.jpg		7				2				5.2487
4K/SW4K.jpg		7				4				4.2146
4K/SW4K.jpg		7				8				2.2145
4K/SW4K.jpg		7				16				2.2349
4K/SW4K.jpg		9				1				15.5246
4K/SW4K.jpg		9				2				7.7987
4K/SW4K.jpg		9				4				4.1067
4K/SW4K.jpg		9				8				3.6995
4K/SW4K.jpg		9				16				3.7078
4K/SW4K.jpg		11				1				22.6623
4K/SW4K.jpg		11				2				11.6646
4K/SW4K.jpg		11				4				7.0409
4K/SW4K.jpg		11				8				5.4262
4K/SW4K.jpg		11				16				5.4139
4K/SW4K.jpg		13				1				30.9529
4K/SW4K.jpg		13				2				15.6310
4K/SW4K.jpg		13				4				8.2011
4K/SW4K.jpg		13				8				7.4919
4K/SW4K.jpg		13				16				7.4642
4K/SW4K.jpg		15				1				40.8989
4K/SW4K.jpg		15				2				20.8563
4K/SW4K.jpg		15				4				10.9170
4K/SW4K.jpg		15				8				9.9057
4K/SW4K.jpg		15				16				9.8550
4K/truedetective.jpg		3				1				1.9166
4K/truedetective.jpg		3				2				0.9996
4K/truedetective.jpg		3				4				0.5805
4K/truedetective.jpg		3				8				0.5119
4K/truedetective.jpg		3				16				0.5521
4K/truedetective.jpg		5				1				4.4637
4K/truedetective.jpg		5				2				2.2698
4K/truedetective.jpg		5				4				1.2600
4K/truedetective.jpg		5				8				1.1412
4K/truedetective.jpg		5				16				1.1581
4K/truedetective.jpg		7				1				8.2954
4K/truedetective.jpg		7				2				4.1865
4K/truedetective.jpg		7				4				2.2389
4K/truedetective.jpg		7				8				2.0958
4K/truedetective.jpg		7				16				2.1000
4K/truedetective.jpg		9				1				14.1257
4K/truedetective.jpg		9				2				7.1012
4K/truedetective.jpg		9				4				3.8418
4K/truedetective.jpg		9				8				3.4319
4K/truedetective.jpg		9				16				3.4763
4K/truedetective.jpg		11				1				21.2873
4K/truedetective.jpg		11				2				10.4902
4K/truedetective.jpg		11				4				5.5399
4K/truedetective.jpg		11				8				5.0271
4K/truedetective.jpg		11				16				5.0221
4K/truedetective.jpg		13				1				28.7142
4K/truedetective.jpg		13				2				14.3775
4K/truedetective.jpg		13				4				7.5618
4K/truedetective.jpg		13				8				6.9308
4K/truedetective.jpg		13				16				6.9274
4K/truedetective.jpg		15				1				40.8423
4K/truedetective.jpg		15				2				19.0284
4K/truedetective.jpg		15				4				10.0269
4K/truedetective.jpg		15				8				9.1570
4K/truedetective.jpg		15				16				9.1693
4K/Ultron.jpg		3				1				2.0470
4K/Ultron.jpg		3				2				1.0918
4K/Ultron.jpg		3				4				0.5780
4K/Ultron.jpg		3				8				0.5318
4K/Ultron.jpg		3				16				0.5553
4K/Ultron.jpg		5				1				4.7541
4K/Ultron.jpg		5				2				2.4406
4K/Ultron.jpg		5				4				1.2948
4K/Ultron.jpg		5				8				1.2095
4K/Ultron.jpg		5				16				1.2540
4K/Ultron.jpg		7				1				8.8861
4K/Ultron.jpg		7				2				4.4596
4K/Ultron.jpg		7				4				2.4322
4K/Ultron.jpg		7				8				2.2228
4K/Ultron.jpg		7				16				2.2691
4K/Ultron.jpg		9				1				15.2966
4K/Ultron.jpg		9				2				7.7128
4K/Ultron.jpg		9				4				4.1480
4K/Ultron.jpg		9				8				3.7091
4K/Ultron.jpg		9				16				3.7029
4K/Ultron.jpg		11				1				22.4768
4K/Ultron.jpg		11				2				11.8383
4K/Ultron.jpg		11				4				6.0039
4K/Ultron.jpg		11				8				5.4304
4K/Ultron.jpg		11				16				5.4330
4K/Ultron.jpg		13				1				31.1290
4K/Ultron.jpg		13				2				16.5743
4K/Ultron.jpg		13				4				8.4473
4K/Ultron.jpg		13				8				7.5429
4K/Ultron.jpg		13				16				7.5347
4K/Ultron.jpg		15				1				42.2301
4K/Ultron.jpg		15				2				20.7803
4K/Ultron.jpg		15				4				11.2463
4K/Ultron.jpg		15				8				9.9100
4K/Ultron.jpg		15				16				9.8755
4K/wallpaper.jpg		3				1				1.9185
4K/wallpaper.jpg		3				2				1.0023
4K/wallpaper.jpg		3				4				0.5584
4K/wallpaper.jpg		3				8				0.5130
4K/wallpaper.jpg		3				16				0.5359
4K/wallpaper.jpg		5				1				4.4744
4K/wallpaper.jpg		5				2				2.2883
4K/wallpaper.jpg		5				4				1.2328
4K/wallpaper.jpg		5				8				1.1468
4K/wallpaper.jpg		5				16				1.1514
4K/wallpaper.jpg		7				1				8.3045
4K/wallpaper.jpg		7				2				4.2573
4K/wallpaper.jpg		7				4				2.3345
4K/wallpaper.jpg		7				8				2.0938
4K/wallpaper.jpg		7				16				2.1131
4K/wallpaper.jpg		9				1				14.1494
4K/wallpaper.jpg		9				2				7.2288
4K/wallpaper.jpg		9				4				3.8036
4K/wallpaper.jpg		9				8				3.4364
4K/wallpaper.jpg		9				16				3.4700
4K/wallpaper.jpg		11				1				20.6939
4K/wallpaper.jpg		11				2				10.5298
4K/wallpaper.jpg		11				4				9.6179
4K/wallpaper.jpg		11				8				5.0311
4K/wallpaper.jpg		11				16				5.0685
4K/wallpaper.jpg		13				1				28.5875
4K/wallpaper.jpg		13				2				14.3498
4K/wallpaper.jpg		13				4				7.6210
4K/wallpaper.jpg		13				8				7.3808
4K/wallpaper.jpg		13				16				6.9021
4K/wallpaper.jpg		15				1				37.5539
4K/wallpaper.jpg		15				2				19.5500
4K/wallpaper.jpg		15				4				10.2032
4K/wallpaper.jpg		15				8				9.1595
4K/wallpaper.jpg		15				16				9.1143
4K/Wolf.jpg		3				1				2.0588
4K/Wolf.jpg		3				2				1.1265
4K/Wolf.jpg		3				4				0.5864
4K/Wolf.jpg		3				8				0.5407
4K/Wolf.jpg		3				16				0.5536
4K/Wolf.jpg		5				1				5.3287
4K/Wolf.jpg		5				2				2.5276
4K/Wolf.jpg		5				4				1.3042
4K/Wolf.jpg		5				8				1.2223
4K/Wolf.jpg		5				16				1.2262
4K/Wolf.jpg		7				1				8.8699
4K/Wolf.jpg		7				2				4.4764
4K/Wolf.jpg		7				4				4.2470
4K/Wolf.jpg		7				8				2.2336
4K/Wolf.jpg		7				16				2.2293
4K/Wolf.jpg		9				1				15.4225
4K/Wolf.jpg		9				2				7.8459
4K/Wolf.jpg		9				4				5.7621
4K/Wolf.jpg		9				8				3.9428
4K/Wolf.jpg		9				16				3.7297
4K/Wolf.jpg		11				1				22.5644
4K/Wolf.jpg		11				2				11.6960
4K/Wolf.jpg		11				4				6.0444
4K/Wolf.jpg		11				8				5.4431
4K/Wolf.jpg		11				16				5.4926
4K/Wolf.jpg		13				1				31.2271
4K/Wolf.jpg		13				2				16.5434
4K/Wolf.jpg		13				4				8.3208
4K/Wolf.jpg		13				8				7.5217
4K/Wolf.jpg		13				16				7.5135
4K/Wolf.jpg		15				1				41.1133
4K/Wolf.jpg		15				2				23.6543
4K/Wolf.jpg		15				4				10.8547
4K/Wolf.jpg		15				8				9.9191
4K/Wolf.jpg		15				16				9.8717
