File 			 Kernel 			 Threads 			 Time(s)
1080p/Breakingbad1080.jpg		15				1				9.4642
1080p/Breakingbad1080.jpg		15				2				4.7697
1080p/Breakingbad1080.jpg		15				4				2.4896
1080p/Breakingbad1080.jpg		15				8				2.2931
1080p/Breakingbad1080.jpg		15				16				2.3080
1080p/Fiction1080.jpg		3				1				0.4888
1080p/Fiction1080.jpg		3				2				0.2540
1080p/Fiction1080.jpg		3				4				0.1430
1080p/Fiction1080.jpg		3				8				0.1427
1080p/Fiction1080.jpg		3				16				0.1411
1080p/Fiction1080.jpg		5				1				1.1237
1080p/Fiction1080.jpg		5				2				0.5982
1080p/Fiction1080.jpg		5				4				0.3107
1080p/Fiction1080.jpg		5				8				0.2936
1080p/Fiction1080.jpg		5				16				0.3035
1080p/Fiction1080.jpg		7				1				2.1388
1080p/Fiction1080.jpg		7				2				1.0595
1080p/Fiction1080.jpg		7				4				0.5632
1080p/Fiction1080.jpg		7				8				0.5313
1080p/Fiction1080.jpg		7				16				0.5377
1080p/Fiction1080.jpg		9				1				3.5236
1080p/Fiction1080.jpg		9				2				1.8585
1080p/Fiction1080.jpg		9				4				0.9647
1080p/Fiction1080.jpg		9				8				0.8708
1080p/Fiction1080.jpg		9				16				0.8891
1080p/Fiction1080.jpg		11				1				5.1765
1080p/Fiction1080.jpg		11				2				2.6013
1080p/Fiction1080.jpg		11				4				1.3820
1080p/Fiction1080.jpg		11				8				1.2644
1080p/Fiction1080.jpg		11				16				1.3036
1080p/Fiction1080.jpg		13				1				7.1101
1080p/Fiction1080.jpg		13				2				3.6880
1080p/Fiction1080.jpg		13				4				1.9320
1080p/Fiction1080.jpg		13				8				1.7454
1080p/Fiction1080.jpg		13				16				1.7559
1080p/Fiction1080.jpg		15				1				9.4585
1080p/Fiction1080.jpg		15				2				4.7957
1080p/Fiction1080.jpg		15				4				2.4931
1080p/Fiction1080.jpg		15				8				2.2966
1080p/Fiction1080.jpg		15				16				2.3043
1080p/GNR.jpg		3				1				0.5010
1080p/GNR.jpg		3				2				0.2514
1080p/GNR.jpg		3				4				0.1485
1080p/GNR.jpg		3				8				0.1384
1080p/GNR.jpg		3				16				0.1373
1080p/GNR.jpg		5				1				1.1736
1080p/GNR.jpg		5				2				0.5698
1080p/GNR.jpg		5				4				0.5371
1080p/GNR.jpg		5				8				0.2893
1080p/GNR.jpg		5				16				0.3156
1080p/GNR.jpg		7				1				2.1252
1080p/GNR.jpg		7				2				1.0501
1080p/GNR.jpg		7				4				0.5616
1080p/GNR.jpg		7				8				0.5312
1080p/GNR.jpg		7				16				0.5370
1080p/GNR.jpg		9				1				3.5228
1080p/GNR.jpg		9				2				2.1209
1080p/GNR.jpg		9				4				0.9409
1080p/GNR.jpg		9				8				0.8659
1080p/GNR.jpg		9				16				0.8778
1080p/GNR.jpg		11				1				5.2156
1080p/GNR.jpg		11				2				2.6461
1080p/GNR.jpg		11				4				2.4118
1080p/GNR.jpg		11				8				1.2658
1080p/GNR.jpg		11				16				1.2809
1080p/GNR.jpg		13				1				7.1560
1080p/GNR.jpg		13				2				3.5740
1080p/GNR.jpg		13				4				2.3457
1080p/GNR.jpg		13				8				1.8482
1080p/GNR.jpg		13				16				1.7791
1080p/GNR.jpg		15				1				9.3968
1080p/GNR.jpg		15				2				4.9595
1080p/GNR.jpg		15				4				2.4969
1080p/GNR.jpg		15				8				2.4439
1080p/GNR.jpg		15				16				2.3021
1080p/Man1080.jpg		3				1				0.4804
1080p/Man1080.jpg		3				2				0.2464
1080p/Man1080.jpg		3				4				0.1355
1080p/Man1080.jpg		3				8				0.1280
1080p/Man1080.jpg		3				16				0.1335
1080p/Man1080.jpg		5				1				1.1196
1080p/Man1080.jpg		5				2				0.5683
1080p/Man1080.jpg		5				4				0.3026
1080p/Man1080.jpg		5				8				0.2877
1080p/Man1080.jpg		5				16				0.2876
1080p/Man1080.jpg		7				1				2.0746
1080p/Man1080.jpg		7				2				1.0550
1080p/Man1080.jpg		7				4				0.9907
1080p/Man1080.jpg		7				8				0.5244
1080p/Man1080.jpg		7				16				0.5474
1080p/Man1080.jpg		9				1				3.5444
1080p/Man1080.jpg		9				2				1.7692
1080p/Man1080.jpg		9				4				0.9682
1080p/Man1080.jpg		9				8				0.8617
1080p/Man1080.jpg		9				16				0.8617
1080p/Man1080.jpg		11				1				5.2204
1080p/Man1080.jpg		11				2				2.5996
1080p/Man1080.jpg		11				4				1.4117
1080p/Man1080.jpg		11				8				1.2585
1080p/Man1080.jpg		11				16				1.2965
1080p/Man1080.jpg		13				1				7.1672
1080p/Man1080.jpg		13				2				3.6683
1080p/Man1080.jpg		13				4				3.3191
1080p/Man1080.jpg		13				8				1.7321
1080p/Man1080.jpg		13				16				1.7614
1080p/Man1080.jpg		15				1				9.6013
1080p/Man1080.jpg		15				2				4.7076
1080p/Man1080.jpg		15				4				4.3911
1080p/Man1080.jpg		15				8				2.2896
1080p/Man1080.jpg		15				16				2.3319
1080p/Playboy.jpg		3				1				0.4746
1080p/Playboy.jpg		3				2				0.2476
