File 			 Kernel 			 Threads 			 Time(s)
720p/gorillaz.jpg		11				192				1.0904
720p/gorillaz.jpg		11				384				0.8744
720p/gorillaz.jpg		11				576				0.8735
720p/gorillaz.jpg		11				768				0.6262
720p/gorillaz.jpg		11				960				0.7269
720p/gorillaz.jpg		13				48				2.7366
720p/gorillaz.jpg		13				96				2.2211
720p/gorillaz.jpg		13				192				1.4323
720p/gorillaz.jpg		13				384				1.1372
720p/gorillaz.jpg		13				576				1.1362
720p/gorillaz.jpg		13				768				0.7931
720p/gorillaz.jpg		13				960				0.9314
720p/gorillaz.jpg		15				48				3.5717
720p/gorillaz.jpg		15				96				2.8768
720p/gorillaz.jpg		15				192				1.8219
720p/gorillaz.jpg		15				384				1.4453
720p/gorillaz.jpg		15				576				1.4425
720p/gorillaz.jpg		15				768				0.9887
720p/gorillaz.jpg		15				960				1.1832
720p/Hobbit.jpg		3				48				0.3914
720p/Hobbit.jpg		3				96				0.3576
720p/Hobbit.jpg		3				192				0.3006
720p/Hobbit.jpg		3				384				0.2701
720p/Hobbit.jpg		3				576				0.2689
720p/Hobbit.jpg		3				768				0.2463
720p/Hobbit.jpg		3				960				0.2541
720p/Hobbit.jpg		5				48				0.6323
720p/Hobbit.jpg		5				96				0.5525
720p/Hobbit.jpg		5				192				0.4209
720p/Hobbit.jpg		5				384				0.3591
720p/Hobbit.jpg		5				576				0.3576
720p/Hobbit.jpg		5				768				0.3019
720p/Hobbit.jpg		5				960				0.3234
720p/Hobbit.jpg		7				48				0.9808
720p/Hobbit.jpg		7				96				0.8446
720p/Hobbit.jpg		7				192				0.5940
720p/Hobbit.jpg		7				384				0.4904
720p/Hobbit.jpg		7				576				0.4902
720p/Hobbit.jpg		7				768				0.3870
720p/Hobbit.jpg		7				960				0.4266
720p/Hobbit.jpg		9				48				1.4422
720p/Hobbit.jpg		9				96				1.2159
720p/Hobbit.jpg		9				192				0.8215
720p/Hobbit.jpg		9				384				0.6658
720p/Hobbit.jpg		9				576				0.6661
720p/Hobbit.jpg		9				768				0.4991
720p/Hobbit.jpg		9				960				0.5649
720p/Hobbit.jpg		11				48				2.0277
720p/Hobbit.jpg		11				96				1.6798
720p/Hobbit.jpg		11				192				1.1085
720p/Hobbit.jpg		11				384				0.8873
720p/Hobbit.jpg		11				576				0.8857
720p/Hobbit.jpg		11				768				0.6382
720p/Hobbit.jpg		11				960				0.7364
720p/Hobbit.jpg		13				48				2.7464
720p/Hobbit.jpg		13				96				2.2233
720p/Hobbit.jpg		13				192				1.4414
720p/Hobbit.jpg		13				384				1.1489
720p/Hobbit.jpg		13				576				1.1482
720p/Hobbit.jpg		13				768				0.8053
720p/Hobbit.jpg		13				960				0.9448
720p/Hobbit.jpg		15				48				3.5840
720p/Hobbit.jpg		15				96				2.8818
720p/Hobbit.jpg		15				192				1.8324
720p/Hobbit.jpg		15				384				1.4585
720p/Hobbit.jpg		15				576				1.4541
720p/Hobbit.jpg		15				768				1.0010
720p/Hobbit.jpg		15				960				1.1876
720p/LoTR.jpg		3				48				0.3797
720p/LoTR.jpg		3				96				0.3463
720p/LoTR.jpg		3				192				0.2898
720p/LoTR.jpg		3				384				0.2577
720p/LoTR.jpg		3				576				0.2588
720p/LoTR.jpg		3				768				0.2349
720p/LoTR.jpg		3				960				0.2430
720p/LoTR.jpg		5				48				0.6188
720p/LoTR.jpg		5				96				0.5409
720p/LoTR.jpg		5				192				0.4144
720p/LoTR.jpg		5				384				0.3451
720p/LoTR.jpg		5				576				0.3459
720p/LoTR.jpg		5				768				0.2906
720p/LoTR.jpg		5				960				0.3097
720p/LoTR.jpg		7				48				0.9685
720p/LoTR.jpg		7				96				0.8352
720p/LoTR.jpg		7				192				0.5807
720p/LoTR.jpg		7				384				0.4794
720p/LoTR.jpg		7				576				0.4777
720p/LoTR.jpg		7				768				0.3748
720p/LoTR.jpg		7				960				0.4238
720p/LoTR.jpg		9				48				1.4312
720p/LoTR.jpg		9				96				1.2042
720p/LoTR.jpg		9				192				0.8103
720p/LoTR.jpg		9				384				0.6557
720p/LoTR.jpg		9				576				0.6551
720p/LoTR.jpg		9				768				0.4860
720p/LoTR.jpg		9				960				0.5533
720p/LoTR.jpg		11				48				2.0163
720p/LoTR.jpg		11				96				1.6603
720p/LoTR.jpg		11				192				1.0913
720p/LoTR.jpg		11				384				0.8749
720p/LoTR.jpg		11				576				0.8735
720p/LoTR.jpg		11				768				0.6263
720p/LoTR.jpg		11				960				0.7249
720p/LoTR.jpg		13				48				2.7352
720p/LoTR.jpg		13				96				2.2124
720p/LoTR.jpg		13				192				1.4363
720p/LoTR.jpg		13				384				1.1386
720p/LoTR.jpg		13				576				1.1369
720p/LoTR.jpg		13				768				0.7942
720p/LoTR.jpg		13				960				0.9332
720p/LoTR.jpg		15				48				3.5727
720p/LoTR.jpg		15				96				2.8697
720p/LoTR.jpg		15				192				1.8217
720p/LoTR.jpg		15				384				1.4469
720p/LoTR.jpg		15				576				1.4430
720p/LoTR.jpg		15				768				0.9893
720p/LoTR.jpg		15				960				1.1757
720p/matrix720.jpg		3				48				0.3811
720p/matrix720.jpg		3				96				0.3465
