File 			 Kernel 			 Threads 			 Time(s)
1080p/ACDC.jpg		3				48				0.6701
1080p/ACDC.jpg		3				96				0.5885
1080p/ACDC.jpg		3				192				0.4589
1080p/ACDC.jpg		3				384				0.3850
1080p/ACDC.jpg		3				576				0.3512
1080p/ACDC.jpg		3				768				0.3636
1080p/ACDC.jpg		3				960				0.3604
1080p/ACDC.jpg		5				48				1.2275
1080p/ACDC.jpg		5				96				1.0303
1080p/ACDC.jpg		5				192				0.7287
1080p/ACDC.jpg		5				384				0.5840
1080p/ACDC.jpg		5				576				0.5227
1080p/ACDC.jpg		5				768				0.5237
1080p/ACDC.jpg		5				960				0.5250
1080p/ACDC.jpg		7				48				2.0274
1080p/ACDC.jpg		7				96				1.6497
1080p/ACDC.jpg		7				192				1.1152
1080p/ACDC.jpg		7				384				0.8793
1080p/ACDC.jpg		7				576				0.7223
1080p/ACDC.jpg		7				768				0.7738
1080p/ACDC.jpg		7				960				0.7730
1080p/ACDC.jpg		9				48				3.0775
1080p/ACDC.jpg		9				96				2.5041
1080p/ACDC.jpg		9				192				1.6257
1080p/ACDC.jpg		9				384				1.2752
1080p/ACDC.jpg		9				576				1.0308
1080p/ACDC.jpg		9				768				1.1216
1080p/ACDC.jpg		9				960				1.1084
1080p/ACDC.jpg		11				48				4.3886
1080p/ACDC.jpg		11				96				3.5998
1080p/ACDC.jpg		11				192				2.2752
1080p/ACDC.jpg		11				384				1.7699
1080p/ACDC.jpg		11				576				1.3991
1080p/ACDC.jpg		11				768				1.5282
1080p/ACDC.jpg		11				960				1.5281
1080p/ACDC.jpg		13				48				5.9993
1080p/ACDC.jpg		13				96				4.8430
1080p/ACDC.jpg		13				192				3.0632
1080p/ACDC.jpg		13				384				2.3742
1080p/ACDC.jpg		13				576				1.8429
1080p/ACDC.jpg		13				768				2.0373
1080p/ACDC.jpg		13				960				2.0254
1080p/ACDC.jpg		15				48				7.9443
1080p/ACDC.jpg		15				96				6.2789
1080p/ACDC.jpg		15				192				3.9223
1080p/ACDC.jpg		15				384				3.0500
1080p/ACDC.jpg		15				576				2.3697
1080p/ACDC.jpg		15				768				2.6215
1080p/ACDC.jpg		15				960				2.6115
1080p/Aragorn.jpg		3				48				0.6657
1080p/Aragorn.jpg		3				96				0.5834
1080p/Aragorn.jpg		3				192				0.4576
1080p/Aragorn.jpg		3				384				0.3845
1080p/Aragorn.jpg		3				576				0.3488
1080p/Aragorn.jpg		3				768				0.3572
1080p/Aragorn.jpg		3				960				0.3602
1080p/Aragorn.jpg		5				48				1.2290
1080p/Aragorn.jpg		5				96				1.0220
1080p/Aragorn.jpg		5				192				0.7267
1080p/Aragorn.jpg		5				384				0.5856
1080p/Aragorn.jpg		5				576				0.4983
1080p/Aragorn.jpg		5				768				0.5268
1080p/Aragorn.jpg		5				960				0.5261
1080p/Aragorn.jpg		7				48				2.0265
1080p/Aragorn.jpg		7				96				1.6529
1080p/Aragorn.jpg		7				192				1.1259
1080p/Aragorn.jpg		7				384				0.8803
1080p/Aragorn.jpg		7				576				0.7255
1080p/Aragorn.jpg		7				768				0.7765
1080p/Aragorn.jpg		7				960				0.7745
1080p/Aragorn.jpg		9				48				3.0706
1080p/Aragorn.jpg		9				96				2.5071
1080p/Aragorn.jpg		9				192				1.6325
1080p/Aragorn.jpg		9				384				1.2842
1080p/Aragorn.jpg		9				576				1.0213
1080p/Aragorn.jpg		9				768				1.1111
1080p/Aragorn.jpg		9				960				1.1081
1080p/Aragorn.jpg		11				48				4.3773
1080p/Aragorn.jpg		11				96				3.5779
1080p/Aragorn.jpg		11				192				2.2755
1080p/Aragorn.jpg		11				384				1.7685
1080p/Aragorn.jpg		11				576				1.3946
1080p/Aragorn.jpg		11				768				1.5292
1080p/Aragorn.jpg		11				960				1.5310
1080p/Aragorn.jpg		13				48				6.0036
1080p/Aragorn.jpg		13				96				4.8385
1080p/Aragorn.jpg		13				192				3.0393
1080p/Aragorn.jpg		13				384				2.3611
1080p/Aragorn.jpg		13				576				1.8474
1080p/Aragorn.jpg		13				768				2.0324
1080p/Aragorn.jpg		13				960				2.0270
1080p/Aragorn.jpg		15				48				7.9414
1080p/Aragorn.jpg		15				96				6.2693
1080p/Aragorn.jpg		15				192				3.9155
1080p/Aragorn.jpg		15				384				3.0525
1080p/Aragorn.jpg		15				576				2.3724
1080p/Aragorn.jpg		15				768				2.6193
1080p/Aragorn.jpg		15				960				2.6134
1080p/Bird1080.jpg		3				48				0.6757
1080p/Bird1080.jpg		3				96				0.5863
1080p/Bird1080.jpg		3				192				0.4683
1080p/Bird1080.jpg		3				384				0.3910
1080p/Bird1080.jpg		3				576				0.3597
1080p/Bird1080.jpg		3				768				0.3620
