File 			 Kernel 			 Threads 			 Time(s)
720p/Hobbit.jpg		13				8				0.7743
720p/Hobbit.jpg		13				16				0.8089
720p/Hobbit.jpg		15				1				4.2022
720p/Hobbit.jpg		15				2				2.1119
720p/Hobbit.jpg		15				4				1.9487
720p/Hobbit.jpg		15				8				1.0172
720p/Hobbit.jpg		15				16				1.0474
720p/LoTR.jpg		3				1				0.2178
720p/LoTR.jpg		3				2				0.1117
720p/LoTR.jpg		3				4				0.1090
720p/LoTR.jpg		3				8				0.0592
720p/LoTR.jpg		3				16				0.0721
720p/LoTR.jpg		5				1				0.5098
720p/LoTR.jpg		5				2				0.2546
720p/LoTR.jpg		5				4				0.2237
720p/LoTR.jpg		5				8				0.1298
720p/LoTR.jpg		5				16				0.1410
720p/LoTR.jpg		7				1				0.9338
720p/LoTR.jpg		7				2				0.4676
720p/LoTR.jpg		7				4				0.3755
720p/LoTR.jpg		7				8				0.2299
720p/LoTR.jpg		7				16				0.2532
720p/LoTR.jpg		9				1				1.5600
720p/LoTR.jpg		9				2				0.7836
720p/LoTR.jpg		9				4				0.7225
720p/LoTR.jpg		9				8				0.3773
720p/LoTR.jpg		9				16				0.3908
720p/LoTR.jpg		11				1				2.2962
720p/LoTR.jpg		11				2				1.1557
720p/LoTR.jpg		11				4				1.0617
720p/LoTR.jpg		11				8				0.5827
720p/LoTR.jpg		11				16				0.5964
720p/LoTR.jpg		13				1				3.1718
720p/LoTR.jpg		13				2				1.5937
720p/LoTR.jpg		13				4				0.8389
720p/LoTR.jpg		13				8				0.7608
720p/LoTR.jpg		13				16				0.7936
720p/LoTR.jpg		15				1				4.2026
720p/LoTR.jpg		15				2				2.1057
720p/LoTR.jpg		15				4				1.9342
720p/LoTR.jpg		15				8				1.0063
720p/LoTR.jpg		15				16				1.0481
720p/matrix720.jpg		3				1				0.2181
720p/matrix720.jpg		3				2				0.1129
720p/matrix720.jpg		3				4				0.0608
720p/matrix720.jpg		3				8				0.0603
720p/matrix720.jpg		3				16				0.0665
720p/matrix720.jpg		5				1				0.5041
720p/matrix720.jpg		5				2				0.2547
720p/matrix720.jpg		5				4				0.1365
720p/matrix720.jpg		5				8				0.1262
720p/matrix720.jpg		5				16				0.1383
720p/matrix720.jpg		7				1				0.9308
720p/matrix720.jpg		7				2				0.4662
720p/matrix720.jpg		7				4				0.4368
720p/matrix720.jpg		7				8				0.2314
720p/matrix720.jpg		7				16				0.2379
720p/matrix720.jpg		9				1				1.5606
720p/matrix720.jpg		9				2				0.7851
720p/matrix720.jpg		9				4				0.7233
720p/matrix720.jpg		9				8				0.3779
720p/matrix720.jpg		9				16				0.3997
720p/matrix720.jpg		11				1				2.3046
720p/matrix720.jpg		11				2				1.1545
720p/matrix720.jpg		11				4				0.6131
720p/matrix720.jpg		11				8				0.5529
720p/matrix720.jpg		11				16				0.5758
720p/matrix720.jpg		13				1				3.1713
720p/matrix720.jpg		13				2				1.5893
720p/matrix720.jpg		13				4				0.8578
720p/matrix720.jpg		13				8				0.8040
720p/matrix720.jpg		13				16				0.8168
720p/matrix720.jpg		15				1				4.1928
720p/matrix720.jpg		15				2				2.1370
720p/matrix720.jpg		15				4				1.9321
720p/matrix720.jpg		15				8				1.0069
720p/matrix720.jpg		15				16				1.0374
720p/men-in-black1.jpg		3				1				0.2214
720p/men-in-black1.jpg		3				2				0.1108
720p/men-in-black1.jpg		3				4				0.1024
720p/men-in-black1.jpg		3				8				0.0570
720p/men-in-black1.jpg		3				16				0.0632
720p/men-in-black1.jpg		5				1				0.5062
720p/men-in-black1.jpg		5				2				0.2559
720p/men-in-black1.jpg		5				4				0.1346
720p/men-in-black1.jpg		5				8				0.1258
720p/men-in-black1.jpg		5				16				0.1308
720p/men-in-black1.jpg		7				1				0.9353
720p/men-in-black1.jpg		7				2				0.4679
720p/men-in-black1.jpg		7				4				0.4391
720p/men-in-black1.jpg		7				8				0.2285
720p/men-in-black1.jpg		7				16				0.2498
720p/men-in-black1.jpg		9				1				1.5643
720p/men-in-black1.jpg		9				2				0.7818
720p/men-in-black1.jpg		9				4				0.7538
720p/men-in-black1.jpg		9				8				0.3772
720p/men-in-black1.jpg		9				16				0.3988
720p/men-in-black1.jpg		11				1				2.3012
720p/men-in-black1.jpg		11				2				1.1566
720p/men-in-black1.jpg		11				4				1.0593
720p/men-in-black1.jpg		11				8				0.5521
720p/men-in-black1.jpg		11				16				0.5940
720p/men-in-black1.jpg		13				1				3.1697
720p/men-in-black1.jpg		13				2				1.6983
720p/men-in-black1.jpg		13				4				0.8384
720p/men-in-black1.jpg		13				8				0.7605
720p/men-in-black1.jpg		13				16				0.7895
720p/men-in-black1.jpg		15				1				4.1980
720p/men-in-black1.jpg		15				2				2.1138
720p/men-in-black1.jpg		15				4				1.9304
720p/men-in-black1.jpg		15				8				1.0053
720p/men-in-black1.jpg		15				16				1.0241
720p/men-in-black3.jpg		3				1				0.2219
720p/men-in-black3.jpg		3				2				0.1120
720p/men-in-black3.jpg		3				4				0.0600
720p/men-in-black3.jpg		3				8				0.0559
720p/men-in-black3.jpg		3				16				0.0691
720p/men-in-black3.jpg		5				1				0.5197
720p/men-in-black3.jpg		5				2				0.2532
720p/men-in-black3.jpg		5				4				0.2079
720p/men-in-black3.jpg		5				8				0.1268
720p/men-in-black3.jpg		5				16				0.1310
720p/men-in-black3.jpg		7				1				0.9418
720p/men-in-black3.jpg		7				2				0.4733
720p/men-in-black3.jpg		7				4				0.2473
720p/men-in-black3.jpg		7				8				0.2300
720p/men-in-black3.jpg		7				16				0.2403
720p/men-in-black3.jpg		9				1				1.5577
720p/men-in-black3.jpg		9				2				0.7810
720p/men-in-black3.jpg		9				4				0.7239
720p/men-in-black3.jpg		9				8				0.3778
720p/men-in-black3.jpg		9				16				0.4019
720p/men-in-black3.jpg		11				1				2.3015
720p/men-in-black3.jpg		11				2				1.1586
720p/men-in-black3.jpg		11				4				0.6152
720p/men-in-black3.jpg		11				8				0.5528
720p/men-in-black3.jpg		11				16				0.5892
720p/men-in-black3.jpg		13				1				3.1675
720p/men-in-black3.jpg		13				2				1.6268
720p/men-in-black3.jpg		13				4				1.4641
720p/men-in-black3.jpg		13				8				0.7618
720p/men-in-black3.jpg		13				16				0.7864
720p/men-in-black3.jpg		15				1				4.1952
720p/men-in-black3.jpg		15				2				2.1640
720p/men-in-black3.jpg		15				4				1.9329
720p/men-in-black3.jpg		15				8				1.0057
720p/men-in-black3.jpg		15				16				1.0308
720p/perro720.jpg		3				1				0.2195
720p/perro720.jpg		3				2				0.1118
720p/perro720.jpg		3				4				0.1033
720p/perro720.jpg		3				8				0.0577
720p/perro720.jpg		3				16				0.0671
720p/perro720.jpg		5				1				0.5055
720p/perro720.jpg		5				2				0.2529
720p/perro720.jpg		5				4				0.2368
720p/perro720.jpg		5				8				0.1264
720p/perro720.jpg		5				16				0.1423
720p/perro720.jpg		7				1				0.9389
720p/perro720.jpg		7				2				0.4686
720p/perro720.jpg		7				4				0.2482
720p/perro720.jpg		7				8				0.2309
720p/perro720.jpg		7				16				0.2488
720p/perro720.jpg		9				1				1.5585
720p/perro720.jpg		9				2				0.7860
720p/perro720.jpg		9				4				0.7637
720p/perro720.jpg		9				8				0.3779
720p/perro720.jpg		9				16				0.3961
720p/perro720.jpg		11				1				2.3016
720p/perro720.jpg		11				2				1.1594
720p/perro720.jpg		11				4				0.6137
720p/perro720.jpg		11				8				0.5538
720p/perro720.jpg		11				16				0.5683
720p/perro720.jpg		13				1				3.1630
720p/perro720.jpg		13				2				1.5925
720p/perro720.jpg		13				4				1.4609
720p/perro720.jpg		13				8				0.7628
