File 			 Kernel 			 Threads 			 Time(s)
4K/Girl.jpg		7				8				2.2476
4K/Girl.jpg		7				16				2.2396
4K/Girl.jpg		9				1				15.6786
4K/Girl.jpg		9				2				7.9216
4K/Girl.jpg		9				4				6.9386
4K/Girl.jpg		9				8				3.7164
4K/Girl.jpg		9				16				3.7008
4K/Girl.jpg		11				1				23.0193
4K/Girl.jpg		11				2				11.5862
4K/Girl.jpg		11				4				6.0988
4K/Girl.jpg		11				8				5.4358
4K/Girl.jpg		11				16				5.4075
4K/Girl.jpg		13				1				31.7961
4K/Girl.jpg		13				2				16.1047
4K/Girl.jpg		13				4				14.2340
4K/Girl.jpg		13				8				7.4848
4K/Girl.jpg		13				16				7.4316
4K/Girl.jpg		15				1				41.7468
4K/Girl.jpg		15				2				20.9021
4K/Girl.jpg		15				4				11.0285
4K/Girl.jpg		15				8				9.8576
4K/Girl.jpg		15				16				9.8899
4K/GoT4K.jpg		3				1				2.5808
4K/GoT4K.jpg		3				2				1.3458
4K/GoT4K.jpg		3				4				1.0988
4K/GoT4K.jpg		3				8				0.6403
4K/GoT4K.jpg		3				16				0.6485
4K/GoT4K.jpg		5				1				5.3225
4K/GoT4K.jpg		5				2				2.7353
4K/GoT4K.jpg		5				4				1.4556
4K/GoT4K.jpg		5				8				1.3254
4K/GoT4K.jpg		5				16				1.3689
4K/GoT4K.jpg		7				1				9.5000
4K/GoT4K.jpg		7				2				4.8191
4K/GoT4K.jpg		7				4				4.5817
4K/GoT4K.jpg		7				8				2.3524
4K/GoT4K.jpg		7				16				2.3439
4K/GoT4K.jpg		9				1				15.9461
4K/GoT4K.jpg		9				2				8.0593
4K/GoT4K.jpg		9				4				7.5478
4K/GoT4K.jpg		9				8				3.8262
4K/GoT4K.jpg		9				16				3.7892
4K/GoT4K.jpg		11				1				23.8281
4K/GoT4K.jpg		11				2				11.7856
4K/GoT4K.jpg		11				4				7.5837
4K/GoT4K.jpg		11				8				5.5257
4K/GoT4K.jpg		11				16				5.4947
4K/GoT4K.jpg		13				1				31.7118
4K/GoT4K.jpg		13				2				16.0479
4K/GoT4K.jpg		13				4				8.9487
4K/GoT4K.jpg		13				8				7.5844
4K/GoT4K.jpg		13				16				7.5510
4K/GoT4K.jpg		15				1				41.7871
4K/GoT4K.jpg		15				2				20.9399
4K/GoT4K.jpg		15				4				17.2252
4K/GoT4K.jpg		15				8				10.4875
4K/GoT4K.jpg		15				16				9.9115
4K/linkinpark.jpg		3				1				1.9821
4K/linkinpark.jpg		3				2				1.1499
4K/linkinpark.jpg		3				4				0.9237
4K/linkinpark.jpg		3				8				0.5264
4K/linkinpark.jpg		3				16				0.5149
4K/linkinpark.jpg		5				1				4.6222
4K/linkinpark.jpg		5				2				2.3120
4K/linkinpark.jpg		5				4				2.1370
4K/linkinpark.jpg		5				8				1.1297
4K/linkinpark.jpg		5				16				1.1894
4K/linkinpark.jpg		7				1				8.3889
4K/linkinpark.jpg		7				2				4.2263
4K/linkinpark.jpg		7				4				3.9438
4K/linkinpark.jpg		7				8				2.0643
4K/linkinpark.jpg		7				16				2.1320
4K/linkinpark.jpg		9				1				14.0285
4K/linkinpark.jpg		9				2				7.1732
4K/linkinpark.jpg		9				4				6.4153
4K/linkinpark.jpg		9				8				3.3932
4K/linkinpark.jpg		9				16				3.4225
4K/linkinpark.jpg		11				1				20.7004
